n_users,n_trips,events_per_trip,db,query,time_seconds,memory_mb
1000,100000,10,postgres,load,182.2194,675.78
1000,100000,10,postgres,query1,1.8163,674.8
1000,100000,10,postgres,query2,0.0962,673.8
1000,100000,10,postgres,query3,1.619,673.8
1000,100000,10,postgres,query4,1.927,673.81
1000,100000,10,mongodb,load,59.1385,692.64
1000,100000,10,mongodb,query1_lookup,27.207,685.96
1000,100000,10,mongodb,query2,2.1513,685.96
1000,100000,10,mongodb,query3,0.2881,685.96
1000,100000,10,mongodb,query4,0.9732,685.96
1000,100000,10,neo4j,load,29.026,685.84
1000,100000,10,neo4j,query1,0.0821,685.84
1000,100000,10,neo4j,query2,0.0203,685.84
1000,100000,10,spark_doc,query2,0.402,683.37
1000,100000,10,spark_graph,pagerank,4.2997,682.98
1000,100000,10,spark_graph,connected_components,0.9407,682.98
10000,10000,0,postgres,load,3.9037,304.73
10000,10000,0,postgres,query1,0.1909,304.86
10000,10000,0,postgres,query2,0.0577,304.9
10000,10000,0,postgres,query3,0.1415,304.9
10000,10000,0,postgres,query4,0.003,304.9
10000,10000,0,mongodb,load,0.7423,305.15
10000,10000,0,mongodb,query1_lookup,2.6579,305.17
10000,10000,0,mongodb,query2,0.656,300.18
10000,10000,0,mongodb,query3,0.013,300.18
10000,10000,0,mongodb,query4,0.007,300.18
10000,10000,0,neo4j,load,5.5466,298.95
10000,10000,0,neo4j,query1,0.6464,298.95
10000,10000,0,neo4j,query2,0.2103,298.95
10000,10000,0,spark_doc,query2,0.3992,298.23
10000,10000,0,spark_graph,pagerank,4.1264,298.08
10000,10000,0,spark_graph,connected_components,0.8978,298.08
10000,10000,2,postgres,load,6.7461,290.04
10000,10000,2,postgres,query1,0.1781,290.12
10000,10000,2,postgres,query2,0.0929,288.13
10000,10000,2,postgres,query3,0.1107,282.13
10000,10000,2,postgres,query4,0.1148,282.15
10000,10000,2,mongodb,load,5.8531,283.89
10000,10000,2,mongodb,query1_lookup,2.7546,283.89
10000,10000,2,mongodb,query2,0.6343,283.9
10000,10000,2,mongodb,query3,0.0171,283.9
10000,10000,2,mongodb,query4,0.0913,283.67
10000,10000,2,neo4j,load,3.3928,283.61
10000,10000,2,neo4j,query1,0.1129,283.61
10000,10000,2,neo4j,query2,0.0065,283.61
